"survey_id","SPECIES_CD","abundance"
"1003U_2_2014","ACA COER",0
"1003U_2_2014","CAN ROST",0
"1003U_2_2014","CHA CAPI",0
"1003U_2_2014","COR GLAU",1
"1003U_2_2014","COR PERS",0
"1003U_2_2014","HAE PLUM",0
"1003U_2_2014","HAL BIVI",7
"1003U_2_2014","HAL GARN",0
"1003U_2_2014","HAL MACU",0
"1003U_2_2014","OCY CHRY",0
"1003U_2_2014","POM ARCU",0
"1003U_2_2014","SCA ISER",3.49
"1003U_2_2014","SPA ATOM",0.5
"1003U_2_2014","SPA AURO",10.49
"1003U_2_2014","SPA VIRI",0
"1003U_2_2014","STE PART",2.49
"1003U_2_2014","STE VARI",0.5
"1003U_2_2014","THA BIFA",0
"1003U_2_2016","ACA BAHI",0
"1003U_2_2016","ACA CHIR",0
"1003U_2_2016","ACA COER",0
"1003U_2_2016","CAN ROST",0
"1003U_2_2016","CHA CAPI",0
"1003U_2_2016","COR GLAU",0
"1003U_2_2016","COR PERS",0
"1003U_2_2016","HAE PLUM",0
"1003U_2_2016","HAL BIVI",0
"1003U_2_2016","HAL GARN",0
"1003U_2_2016","HAL MACU",0
"1003U_2_2016","OCY CHRY",0
"1003U_2_2016","POM ARCU",0
"1003U_2_2016","SCA ISER",0
"1003U_2_2016","SPA ATOM",0
"1003U_2_2016","SPA AURO",0
"1003U_2_2016","SPA VIRI",0
"1003U_2_2016","STE PART",0
"1003U_2_2016","STE VARI",0
"1003U_2_2016","THA BIFA",0
"1003U_2_2018","ACA BAHI",1
"1003U_2_2018","ACA CHIR",1
"1003U_2_2018","ACA COER",0
"1003U_2_2018","CAN ROST",0.5
"1003U_2_2018","CHA CAPI",0
"1003U_2_2018","COR GLAU",1.5
"1003U_2_2018","COR PERS",0
"1003U_2_2018","HAE PLUM",0
"1003U_2_2018","HAL BIVI",17.49
"1003U_2_2018","HAL GARN",0
"1003U_2_2018","HAL MACU",5.5
"1003U_2_2018","OCY CHRY",15
"1003U_2_2018","POM ARCU",0
"1003U_2_2018","SCA ISER",5.98
"1003U_2_2018","SPA ATOM",1
"1003U_2_2018","SPA AURO",1
"1003U_2_2018","SPA VIRI",0
"1003U_2_2018","STE PART",0
"1003U_2_2018","STE VARI",5.49
"1003U_2_2018","THA BIFA",0
"1004_1_2022","ACA BAHI",0
"1004_1_2022","ACA CHIR",0
"1004_1_2022","ACA COER",0
"1004_1_2022","CAN ROST",0
"1004_1_2022","CHA CAPI",0
"1004_1_2022","COR GLAU",0
"1004_1_2022","COR PERS",0
"1004_1_2022","HAE PLUM",1
"1004_1_2022","HAL BIVI",16
"1004_1_2022","HAL GARN",0
"1004_1_2022","HAL MACU",0
"1004_1_2022","OCY CHRY",1
"1004_1_2022","POM ARCU",0
"1004_1_2022","SCA ISER",5
"1004_1_2022","SPA ATOM",1
"1004_1_2022","SPA AURO",1
"1004_1_2022","SPA VIRI",0
"1004_1_2022","STE PART",0
"1004_1_2022","STE VARI",1
"1004_1_2022","THA BIFA",0
"1004U_1_2014","ACA BAHI",0
"1004U_1_2014","ACA CHIR",0
"1004U_1_2014","ACA COER",0
"1004U_1_2014","CAN ROST",0
"1004U_1_2014","CHA CAPI",0
"1004U_1_2014","COR GLAU",0
"1004U_1_2014","COR PERS",0
"1004U_1_2014","HAE PLUM",0.33
"1004U_1_2014","HAL BIVI",3.98
"1004U_1_2014","HAL GARN",0
"1004U_1_2014","HAL MACU",0
"1004U_1_2014","OCY CHRY",2.66
"1004U_1_2014","POM ARCU",0.66
"1004U_1_2014","SCA ISER",36.64
"1004U_1_2014","SPA ATOM",0
"1004U_1_2014","SPA AURO",1
"1004U_1_2014","SPA VIRI",0
"1004U_1_2014","STE PART",0
"1004U_1_2014","STE VARI",3.99
"1004U_1_2014","THA BIFA",0
"1004U_1_2016","ACA BAHI",0
"1004U_1_2016","ACA CHIR",0
"1004U_1_2016","ACA COER",0
"1004U_1_2016","CAN ROST",0
"1004U_1_2016","CHA CAPI",0
"1004U_1_2016","COR GLAU",0
"1004U_1_2016","COR PERS",0
"1004U_1_2016","HAE PLUM",0
"1004U_1_2016","HAL BIVI",0
"1004U_1_2016","HAL GARN",0
"1004U_1_2016","HAL MACU",0
"1004U_1_2016","OCY CHRY",0
"1004U_1_2016","POM ARCU",0
"1004U_1_2016","SCA ISER",0
"1004U_1_2016","SPA ATOM",0
"1004U_1_2016","SPA AURO",0
"1004U_1_2016","SPA VIRI",0
"1004U_1_2016","STE PART",0
"1004U_1_2016","STE VARI",0
"1004U_1_2016","THA BIFA",0
"1004U_1_2018","ACA BAHI",0
"1004U_1_2018","ACA CHIR",0
"1004U_1_2018","ACA COER",0
"1004U_1_2018","CAN ROST",0
"1004U_1_2018","CHA CAPI",0
"1004U_1_2018","COR GLAU",0
"1004U_1_2018","COR PERS",0
"1004U_1_2018","HAE PLUM",0
"1004U_1_2018","HAL BIVI",0
"1004U_1_2018","HAL GARN",0
"1004U_1_2018","HAL MACU",0
"1004U_1_2018","OCY CHRY",0
"1004U_1_2018","POM ARCU",0
"1004U_1_2018","SCA ISER",0
"1004U_1_2018","SPA ATOM",0
"1004U_1_2018","SPA AURO",0
"1004U_1_2018","SPA VIRI",0
"1004U_1_2018","STE PART",0
"1004U_1_2018","STE VARI",0
"1004U_1_2018","THA BIFA",0
"1004U_2_2016","ACA BAHI",0
"1004U_2_2016","ACA CHIR",0
"1004U_2_2016","ACA COER",0
"1004U_2_2016","CAN ROST",0
"1004U_2_2016","CHA CAPI",0
"1004U_2_2016","COR GLAU",1
"1004U_2_2016","COR PERS",0
"1004U_2_2016","HAE PLUM",0
"1004U_2_2016","HAL BIVI",0
"1004U_2_2016","HAL GARN",0
"1004U_2_2016","HAL MACU",0
"1004U_2_2016","OCY CHRY",0
"1004U_2_2016","POM ARCU",0
"1004U_2_2016","SCA ISER",0
"1004U_2_2016","SPA ATOM",0
"1004U_2_2016","SPA AURO",0
"1004U_2_2016","SPA VIRI",0
"1004U_2_2016","STE PART",0
"1004U_2_2016","STE VARI",0
"1004U_2_2016","THA BIFA",0
"1004U_2_2018","ACA BAHI",0
"1004U_2_2018","ACA CHIR",1
"1004U_2_2018","ACA COER",0
"1004U_2_2018","CAN ROST",0
"1004U_2_2018","CHA CAPI",0
"1004U_2_2018","COR GLAU",0
"1004U_2_2018","COR PERS",0
"1004U_2_2018","HAE PLUM",0
"1004U_2_2018","HAL BIVI",2
"1004U_2_2018","HAL GARN",0
"1004U_2_2018","HAL MACU",0
"1004U_2_2018","OCY CHRY",0
"1004U_2_2018","POM ARCU",0
"1004U_2_2018","SCA ISER",0
"1004U_2_2018","SPA ATOM",0.5
"1004U_2_2018","SPA AURO",0
"1004U_2_2018","SPA VIRI",0
"1004U_2_2018","STE PART",0
"1004U_2_2018","STE VARI",0
"1004U_2_2018","THA BIFA",0
"1005_1_2022","ACA BAHI",1
"1005_1_2022","ACA CHIR",1
"1005_1_2022","ACA COER",0
"1005_1_2022","CAN ROST",0
"1005_1_2022","CHA CAPI",0
"1005_1_2022","COR GLAU",0
"1005_1_2022","COR PERS",0
"1005_1_2022","HAE PLUM",30
"1005_1_2022","HAL BIVI",40
"1005_1_2022","HAL GARN",0
"1005_1_2022","HAL MACU",5
"1005_1_2022","OCY CHRY",1
"1005_1_2022","POM ARCU",0
"1005_1_2022","SCA ISER",5
"1005_1_2022","SPA ATOM",3
"1005_1_2022","SPA AURO",0
"1005_1_2022","SPA VIRI",1
"1005_1_2022","STE PART",0
"1005_1_2022","STE VARI",1
"1005_1_2022","THA BIFA",12
"1005_1_2024","ACA BAHI",0
"1005_1_2024","ACA CHIR",0
"1005_1_2024","ACA COER",0
"1005_1_2024","CAN ROST",0
"1005_1_2024","CHA CAPI",0
"1005_1_2024","COR GLAU",0
"1005_1_2024","COR PERS",0
"1005_1_2024","HAE PLUM",0.5
"1005_1_2024","HAL BIVI",2
"1005_1_2024","HAL GARN",0
"1005_1_2024","HAL MACU",0
"1005_1_2024","OCY CHRY",0
"1005_1_2024","POM ARCU",0
"1005_1_2024","SCA ISER",0
"1005_1_2024","SPA ATOM",0
"1005_1_2024","SPA AURO",0
"1005_1_2024","SPA VIRI",0
"1005_1_2024","STE PART",0
"1005_1_2024","STE VARI",0
"1005_1_2024","THA BIFA",0
"1005U_1_2014","ACA BAHI",0.33
"1005U_1_2014","ACA CHIR",1.99
"1005U_1_2014","ACA COER",0
"1005U_1_2014","CAN ROST",0
"1005U_1_2014","CHA CAPI",0
"1005U_1_2014","COR GLAU",0
"1005U_1_2014","COR PERS",0
"1005U_1_2014","HAE PLUM",79.62
"1005U_1_2014","HAL BIVI",0
"1005U_1_2014","HAL GARN",0
"1005U_1_2014","HAL MACU",0
"1005U_1_2014","OCY CHRY",0.33
"1005U_1_2014","POM ARCU",1.32
"1005U_1_2014","SCA ISER",16.63
"1005U_1_2014","SPA ATOM",0
"1005U_1_2014","SPA AURO",2.49
"1005U_1_2014","SPA VIRI",0
"1005U_1_2014","STE PART",0
"1005U_1_2014","STE VARI",0.33
"1005U_1_2014","THA BIFA",0
"1005U_1_2016","ACA BAHI",0
"1005U_1_2016","ACA CHIR",0
"1005U_1_2016","ACA COER",0
"1005U_1_2016","CAN ROST",0
"1005U_1_2016","CHA CAPI",0
"1005U_1_2016","COR GLAU",0
"1005U_1_2016","COR PERS",0
"1005U_1_2016","HAE PLUM",1
"1005U_1_2016","HAL BIVI",0
"1005U_1_2016","HAL GARN",0
"1005U_1_2016","HAL MACU",0
"1005U_1_2016","OCY CHRY",0
"1005U_1_2016","POM ARCU",0
"1005U_1_2016","SCA ISER",0
"1005U_1_2016","SPA ATOM",0
"1005U_1_2016","SPA AURO",0
"1005U_1_2016","SPA VIRI",0
"1005U_1_2016","STE PART",0
"1005U_1_2016","STE VARI",3
"1005U_1_2016","THA BIFA",0
"1005U_1_2018","ACA BAHI",1
"1005U_1_2018","ACA CHIR",0
"1005U_1_2018","ACA COER",1.5
"1005U_1_2018","CAN ROST",0
"1005U_1_2018","CHA CAPI",0.5
"1005U_1_2018","COR GLAU",5
"1005U_1_2018","COR PERS",0
"1005U_1_2018","HAE PLUM",10.5
"1005U_1_2018","HAL BIVI",15.49
"1005U_1_2018","HAL GARN",0
"1005U_1_2018","HAL MACU",1
"1005U_1_2018","OCY CHRY",5.5
"1005U_1_2018","POM ARCU",1
"1005U_1_2018","SCA ISER",15.49
"1005U_1_2018","SPA ATOM",2
"1005U_1_2018","SPA AURO",4.5
"1005U_1_2018","SPA VIRI",1
"1005U_1_2018","STE PART",0
"1005U_1_2018","STE VARI",2.99
"1005U_1_2018","THA BIFA",0.5
"1005U_2_2016","ACA BAHI",0
"1005U_2_2016","ACA CHIR",0
"1005U_2_2016","ACA COER",0
"1005U_2_2016","CAN ROST",0
"1005U_2_2016","CHA CAPI",0
"1005U_2_2016","COR GLAU",0
"1005U_2_2016","COR PERS",0
"1005U_2_2016","HAE PLUM",0
"1005U_2_2016","HAL BIVI",0
"1005U_2_2016","HAL GARN",0
"1005U_2_2016","HAL MACU",0
"1005U_2_2016","OCY CHRY",0
"1005U_2_2016","POM ARCU",0
"1005U_2_2016","SCA ISER",0
"1005U_2_2016","SPA ATOM",0
"1005U_2_2016","SPA AURO",0
"1005U_2_2016","SPA VIRI",0
"1005U_2_2016","STE PART",0
"1005U_2_2016","STE VARI",0
"1005U_2_2016","THA BIFA",0
"1005U_2_2018","ACA BAHI",6
"1005U_2_2018","ACA CHIR",0.5
"1005U_2_2018","ACA COER",0
"1005U_2_2018","CAN ROST",0
"1005U_2_2018","CHA CAPI",0
"1005U_2_2018","COR GLAU",0
"1005U_2_2018","COR PERS",0
"1005U_2_2018","HAE PLUM",7.49
"1005U_2_2018","HAL BIVI",14.49
"1005U_2_2018","HAL GARN",0
"1005U_2_2018","HAL MACU",2
"1005U_2_2018","OCY CHRY",13.49
"1005U_2_2018","POM ARCU",0
"1005U_2_2018","SCA ISER",18.49
"1005U_2_2018","SPA ATOM",1.5
"1005U_2_2018","SPA AURO",2.99
"1005U_2_2018","SPA VIRI",0.5
"1005U_2_2018","STE PART",0
"1005U_2_2018","STE VARI",2.5
"1005U_2_2018","THA BIFA",0
"1006_1_2022","ACA BAHI",0
"1006_1_2022","ACA CHIR",0
"1006_1_2022","ACA COER",0
"1006_1_2022","CAN ROST",0
"1006_1_2022","CHA CAPI",0
"1006_1_2022","COR GLAU",0
"1006_1_2022","COR PERS",0
"1006_1_2022","HAE PLUM",0
"1006_1_2022","HAL BIVI",2
"1006_1_2022","HAL GARN",0
"1006_1_2022","HAL MACU",0
"1006_1_2022","OCY CHRY",0
"1006_1_2022","POM ARCU",0
"1006_1_2022","SCA ISER",0
"1006_1_2022","SPA ATOM",0
"1006_1_2022","SPA AURO",0
"1006_1_2022","SPA VIRI",0
"1006_1_2022","STE PART",0
"1006_1_2022","STE VARI",0
"1006_1_2022","THA BIFA",0
"1006_1_2024","ACA BAHI",0
"1006_1_2024","ACA CHIR",0
"1006_1_2024","ACA COER",0
"1006_1_2024","CAN ROST",0
"1006_1_2024","CHA CAPI",0
"1006_1_2024","COR GLAU",0.5
"1006_1_2024","COR PERS",0
"1006_1_2024","HAE PLUM",0
"1006_1_2024","HAL BIVI",0.5
"1006_1_2024","HAL GARN",0
"1006_1_2024","HAL MACU",0
"1006_1_2024","OCY CHRY",0
"1006_1_2024","POM ARCU",0
"1006_1_2024","SCA ISER",0
"1006_1_2024","SPA ATOM",0
"1006_1_2024","SPA AURO",0
"1006_1_2024","SPA VIRI",0
"1006_1_2024","STE PART",0
"1006_1_2024","STE VARI",0
"1006_1_2024","THA BIFA",0
"1006U_1_2014","ACA BAHI",3.74
"1006U_1_2014","ACA CHIR",0
"1006U_1_2014","ACA COER",0
"1006U_1_2014","CAN ROST",4
"1006U_1_2014","CHA CAPI",0
"1006U_1_2014","COR GLAU",2
"1006U_1_2014","COR PERS",0
"1006U_1_2014","HAE PLUM",76.49
"1006U_1_2014","HAL BIVI",5.49
"1006U_1_2014","HAL GARN",0
"1006U_1_2014","HAL MACU",2.49
"1006U_1_2014","OCY CHRY",3
"1006U_1_2014","POM ARCU",0
"1006U_1_2014","SCA ISER",4
"1006U_1_2014","SPA ATOM",0
"1006U_1_2014","SPA AURO",15.39
"1006U_1_2014","SPA VIRI",2
"1006U_1_2014","STE PART",1.5
"1006U_1_2014","STE VARI",1
"1006U_1_2014","THA BIFA",6.74
"1006U_1_2016","ACA BAHI",0
"1006U_1_2016","ACA CHIR",0
"1006U_1_2016","ACA COER",0
"1006U_1_2016","CAN ROST",0
"1006U_1_2016","CHA CAPI",0
"1006U_1_2016","COR GLAU",1
"1006U_1_2016","COR PERS",0
"1006U_1_2016","HAE PLUM",0
"1006U_1_2016","HAL BIVI",0
"1006U_1_2016","HAL GARN",0
"1006U_1_2016","HAL MACU",0
"1006U_1_2016","OCY CHRY",0
"1006U_1_2016","POM ARCU",0
"1006U_1_2016","SCA ISER",2
"1006U_1_2016","SPA ATOM",0
"1006U_1_2016","SPA AURO",0
"1006U_1_2016","SPA VIRI",0
"1006U_1_2016","STE PART",0
"1006U_1_2016","STE VARI",0
"1006U_1_2016","THA BIFA",0
"1006U_1_2018","ACA BAHI",0
"1006U_1_2018","ACA CHIR",3
"1006U_1_2018","ACA COER",27
"1006U_1_2018","CAN ROST",0
"1006U_1_2018","CHA CAPI",0
"1006U_1_2018","COR GLAU",3.99
"1006U_1_2018","COR PERS",10
"1006U_1_2018","HAE PLUM",43.49
"1006U_1_2018","HAL BIVI",5.49
"1006U_1_2018","HAL GARN",0
"1006U_1_2018","HAL MACU",0
"1006U_1_2018","OCY CHRY",1
"1006U_1_2018","POM ARCU",1.5
"1006U_1_2018","SCA ISER",23.5
"1006U_1_2018","SPA ATOM",1.5
"1006U_1_2018","SPA AURO",0
"1006U_1_2018","SPA VIRI",4.49
"1006U_1_2018","STE PART",0
"1006U_1_2018","STE VARI",3
"1006U_1_2018","THA BIFA",1.5
"1006U_2_2014","ACA BAHI",1
"1006U_2_2014","ACA CHIR",3.5
"1006U_2_2014","ACA COER",0
"1006U_2_2014","CAN ROST",5.24
"1006U_2_2014","CHA CAPI",0
"1006U_2_2014","COR GLAU",0.5
"1006U_2_2014","COR PERS",0
"1006U_2_2014","HAE PLUM",26.98
"1006U_2_2014","HAL BIVI",4
"1006U_2_2014","HAL GARN",0.5
"1006U_2_2014","HAL MACU",1
"1006U_2_2014","OCY CHRY",0.5
"1006U_2_2014","POM ARCU",0.5
"1006U_2_2014","SCA ISER",1.5
"1006U_2_2014","SPA ATOM",0
"1006U_2_2014","SPA AURO",20.66
"1006U_2_2014","SPA VIRI",1
"1006U_2_2014","STE PART",0
"1006U_2_2014","STE VARI",0.5
"1006U_2_2014","THA BIFA",0
"1006U_2_2016","ACA BAHI",0
"1006U_2_2016","ACA CHIR",0
"1006U_2_2016","ACA COER",0
"1006U_2_2016","CAN ROST",0
"1006U_2_2016","CHA CAPI",0
"1006U_2_2016","COR GLAU",0
"1006U_2_2016","COR PERS",0
"1006U_2_2016","HAE PLUM",0
"1006U_2_2016","HAL BIVI",0
"1006U_2_2016","HAL GARN",0
"1006U_2_2016","HAL MACU",0
"1006U_2_2016","OCY CHRY",0
"1006U_2_2016","POM ARCU",0
"1006U_2_2016","SCA ISER",1
"1006U_2_2016","SPA ATOM",1
"1006U_2_2016","SPA AURO",1
"1006U_2_2016","SPA VIRI",0
"1006U_2_2016","STE PART",0
"1006U_2_2016","STE VARI",0
"1006U_2_2016","THA BIFA",0
"1006U_2_2018","ACA BAHI",0
"1006U_2_2018","ACA CHIR",0
"1006U_2_2018","ACA COER",7.5
"1006U_2_2018","CAN ROST",0
"1006U_2_2018","CHA CAPI",0
"1006U_2_2018","COR GLAU",0
"1006U_2_2018","COR PERS",0
"1006U_2_2018","HAE PLUM",46.49
"1006U_2_2018","HAL BIVI",7.99
"1006U_2_2018","HAL GARN",0
"1006U_2_2018","HAL MACU",0
"1006U_2_2018","OCY CHRY",0.5
"1006U_2_2018","POM ARCU",0
"1006U_2_2018","SCA ISER",10
"1006U_2_2018","SPA ATOM",0
"1006U_2_2018","SPA AURO",0
"1006U_2_2018","SPA VIRI",4
"1006U_2_2018","STE PART",2.49
"1006U_2_2018","STE VARI",3
"1006U_2_2018","THA BIFA",0
"1007_1_2024","ACA BAHI",0
"1007_1_2024","ACA CHIR",0
"1007_1_2024","ACA COER",0
"1007_1_2024","CAN ROST",0
"1007_1_2024","CHA CAPI",0
"1007_1_2024","COR GLAU",0
"1007_1_2024","COR PERS",0
"1007_1_2024","HAE PLUM",0
"1007_1_2024","HAL BIVI",0
"1007_1_2024","HAL GARN",0
"1007_1_2024","HAL MACU",0
"1007_1_2024","OCY CHRY",0
"1007_1_2024","POM ARCU",0
"1007_1_2024","SCA ISER",0
"1007_1_2024","SPA ATOM",0
"1007_1_2024","SPA AURO",0
"1007_1_2024","SPA VIRI",0
"1007_1_2024","STE PART",0
"1007_1_2024","STE VARI",0
"1007_1_2024","THA BIFA",0
"1007U_1_2016","ACA BAHI",0
"1007U_1_2016","ACA CHIR",5
"1007U_1_2016","ACA COER",0
"1007U_1_2016","CAN ROST",0
"1007U_1_2016","CHA CAPI",0
"1007U_1_2016","COR GLAU",0
