"survey_id","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","latitude","longitude","DEPTH","UNDERWATER_VISIBILITY","HABITAT_TYPE","ZONE_NAME","SUB_REGION_NAME","REGION_DESCRIPTION","PROT","MPA_NAME","total_abundance","species_richness"
"1011U_2_2014","1011U",2,2014,25.3462,-80.19617,3.2,5.5,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",65.61,22
"1013U_1_2014","1013U",1,2014,25.45527,-80.1431,4.9,7.5,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",81.66,25
"1013U_2_2014","1013U",2,2014,25.45553,-80.14306,5.7,6.9,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",567.74,27
"1014U_1_2014","1014U",1,2014,25.45716,-80.14107,4.2,6.9,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",121.11,30
"1014U_2_2014","1014U",2,2014,25.45684,-80.14128,5.2,5.4,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",163.16,32
"1015U_1_2014","1015U",1,2014,25.4614,-80.1348,4.9,19.8,"Isolated - patchy reef structures - moderate vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",138.96,29
"1015U_2_2014","1015U",2,2014,25.4614,-80.1348,4.9,10.7,"Isolated - patchy reef structures - moderate vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",142.87,30
"1016U_1_2014","1016U",1,2014,25.4639,-80.1329,5.5,16.8,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",161.99,29
"1016U_2_2014","1016U",2,2014,25.4639,-80.1329,5.7,9.9,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",90.16,29
"1017U_1_2014","1017U",1,2014,25.4674,-80.1417,4,7.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",89.78,24
"1017U_2_2014","1017U",2,2014,25.4674,-80.1417,4.8,6.9,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",92.74,24
"1018U_1_2014","1018U",1,2014,25.4912,-80.1371,4,12.2,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",315.77,35
"1018U_2_2014","1018U",2,2014,25.4912,-80.1371,5.5,9.1,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",114.12,34
"1019U_1_2014","1019U",1,2014,25.49479,-80.13868,4.8,7.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",120.04,26
"1019U_2_2014","1019U",2,2014,25.4945,-80.13865,4.9,7.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",91.37,29
"1020U_1_2014","1020U",1,2014,25.51721,-80.13831,5.2,8.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",141.19,36
"1021U_1_2014","1021U",1,2014,25.51938,-80.13729,6.1,7.9,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",101.07,28
"1021U_2_2014","1021U",2,2014,25.51888,-80.13735,5.8,6.9,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",139.4,30
"1022U_1_2014","1022U",1,2014,25.52145,-80.13511,5.4,8.8,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",58.72,26
"1022U_2_2014","1022U",2,2014,25.52115,-80.1343,7.3,7.5,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",200.42,32
"1024U_1_2014","1024U",1,2014,25.52884,-80.13494,6.3,9.1,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",140.15,36
"1024U_2_2014","1024U",2,2014,25.52861,-80.13584,5.7,8.4,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",178.92,37
"1025U_1_2014","1025U",1,2014,25.53075,-80.13677,6.6,8.4,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",179.79,39
"1025U_2_2014","1025U",2,2014,25.53048,-80.13663,6.9,8.4,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",110.5,35
"1026U_1_2014","1026U",1,2014,25.63949,-80.11642,7.8,9.9,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",129.02,27
"1026U_2_2014","1026U",2,2014,25.63973,-80.11656,7.3,7.6,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",158.85,37
"1027U_1_2014","1027U",1,2014,25.65857,-80.10027,7.6,9.1,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",125.86,26
"1027U_2_2014","1027U",2,2014,25.65829,-80.10034,7.3,9.2,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",658.1,41
"1028U_1_2014","1028U",1,2014,25.66249,-80.10002,7.6,10.7,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",78.97,22
"1028U_2_2014","1028U",2,2014,25.66224,-80.1001,7.6,8.4,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",76.67,23
"1029U_1_2014","1029U",1,2014,25.3271,-80.16248,9.3,9.9,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",80.29,23
"1029U_2_2014","1029U",2,2014,25.3271,-80.16248,9.6,7.6,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",181.13,22
"1030U_1_2014","1030U",1,2014,25.33333,-80.15955,8.1,10.7,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",41.93,20
"1030U_2_2014","1030U",2,2014,25.33338,-80.15948,7.9,8.4,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",70.17,26
"1031U_1_2014","1031U",1,2014,25.33348,-80.16055,6.6,8.4,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",92.96,27
"1031U_2_2014","1031U",2,2014,25.33333,-80.16028,8.1,7.2,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",48.69,26
"1032U_1_2014","1032U",1,2014,25.62086,-80.09821,7.3,9.2,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",78.94,24
"1032U_2_2014","1032U",2,2014,25.62076,-80.09853,7.3,9.9,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",91.95,24
"1033U_1_2014","1033U",1,2014,25.62489,-80.09912,8.1,9.1,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",251.53,32
"1033U_2_2014","1033U",2,2014,25.62504,-80.0993,7.9,9.1,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",418.96,24
"1034U_1_2014","1034U",1,2014,25.63906,-80.10284,7.6,9.1,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",108.04,25
"1034U_2_2014","1034U",2,2014,25.63936,-80.10277,7.2,9.1,"Isolated - patchy reef structures - low vertical relief","Offshore Patch Reef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",130.17,28
"1035U_1_2014","1035U",1,2014,25.32302,-80.18555,2.6,8.4,"Isolated - patchy reef structures - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",98.92,28
"1035U_2_2014","1035U",2,2014,25.32283,-80.18545,2.1,7.6,"Isolated - patchy reef structures - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",86.01,19
"1036U_1_2014","1036U",1,2014,25.32559,-80.18575,3.4,7.6,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",148.7,27
"1036U_2_2014","1036U",2,2014,25.32559,-80.18575,3.2,8.4,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",63.44,21
"1037U_1_2014","1037U",1,2014,25.57758,-80.11372,4.5,13.7,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",77.52,27
"1037U_2_2014","1037U",2,2014,25.57761,-80.11388,5.2,8.4,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",95.87,24
"1038U_1_2014","1038U",1,2014,25.69089,-80.09749,5.8,10.7,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",245.63,43
"1038U_2_2014","1038U",2,2014,25.69068,-80.09749,5.7,10.7,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",159.77,33
"1039U_1_2014","1039U",1,2014,25.57258,-80.09955,7.3,15.2,"Contiguous reef - non-spur-groove - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",285.13,31
"1039U_2_2014","1039U",2,2014,25.57265,-80.09933,8.1,9.9,"Contiguous reef - non-spur-groove - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",353.39,34
"1040U_1_2014","1040U",1,2014,25.57466,-80.09966,7.5,13,"Contiguous reef - non-spur-groove - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",248.36,46
"1040U_2_2014","1040U",2,2014,25.57441,-80.09952,7,15.2,"Contiguous reef - non-spur-groove - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",198.38,32
"1041U_1_2014","1041U",1,2014,25.57556,-80.10142,7.9,14.5,"Contiguous reef - non-spur-groove - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",366.69,43
"1041U_2_2014","1041U",2,2014,25.57528,-80.10187,7.3,9.9,"Contiguous reef - non-spur-groove - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",345.9,36
"1042U_1_2014","1042U",1,2014,25.58963,-80.09607,3.1,13.7,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",335.36,27
"1042U_2_2014","1042U",2,2014,25.5897,-80.09626,3.5,15.2,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",319.79,37
"1043U_1_2014","1043U",1,2014,25.46151,-80.11957,8.7,7.6,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",160.12,32
"1043U_2_2014","1043U",2,2014,25.46156,-80.11916,8.5,6.9,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",113.16,24
"1044U_1_2014","1044U",1,2014,25.49568,-80.10932,6.4,38.1,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",222.5,28
"1044U_2_2014","1044U",2,2014,25.4959,-80.10932,7.5,15.3,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",162.39,19
"1045U_1_2014","1045U",1,2014,25.64854,-80.0923,11,9.1,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",224.18,23
"1045U_2_2014","1045U",2,2014,25.64875,-80.09226,11.8,9.1,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",133.89,21
"1046U_1_2014","1046U",1,2014,25.73277,-80.08906,15.4,11.5,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",107.17,21
"1046U_2_2014","1046U",2,2014,25.73283,-80.0895,14.5,10.7,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",160.45,31
"1047U_1_2014","1047U",1,2014,25.45819,-80.12605,10.1,6.4,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",43.96,17
"1047U_2_2014","1047U",2,2014,25.45838,-80.12584,8.4,5.4,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",65.45,17
"1048U_1_2014","1048U",1,2014,25.52846,-80.10889,7,8.1,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",31.72,11
"1048U_2_2014","1048U",2,2014,25.52869,-80.10912,7,8.4,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",33.47,11
"1049U_1_2014","1049U",1,2014,25.63919,-80.0905,18.9,13,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",393.31,44
"1049U_2_2014","1049U",2,2014,25.63947,-80.09061,17.7,10.7,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",212.59,32
"1050U_1_2014","1050U",1,2014,25.7151,-80.09815,9.9,9.9,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",267.6,43
"1050U_2_2014","1050U",2,2014,25.71471,-80.09821,10.6,10.7,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",109.67,26
"1051U_1_2014","1051U",1,2014,25.53803,-80.10359,3.4,8.4,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",110.92,27
"1051U_2_2014","1051U",2,2014,25.53832,-80.1037,5.2,6.9,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",168.17,27
"1052U_1_2014","1052U",1,2014,25.59115,-80.09837,5.1,13.7,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",112.92,25
"1052U_2_2014","1052U",2,2014,25.59129,-80.09836,5.4,9.9,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",151.64,30
"1053U_1_2014","1053U",1,2014,25.29842,-80.1664,11,12.2,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",126.91,30
"1053U_2_2014","1053U",2,2014,25.2984,-80.16637,10.4,11.5,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",104.92,31
"1054U_1_2014","1054U",1,2014,25.30558,-80.15808,9.6,11.4,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",102.94,27
"1054U_2_2014","1054U",2,2014,25.30578,-80.15795,10.3,12.2,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",197.25,32
"1056U_1_2014","1056U",1,2014,25.59184,-80.09542,5.8,14.5,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",294.39,42
"1056U_2_2014","1056U",2,2014,25.59195,-80.09515,7.8,10.7,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",302.15,30
"1059U_1_2014","1059U",1,2014,25.37997,-80.13153,28.4,7.6,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",53.18,28
"1059U_2_2014","1059U",2,2014,25.37977,-80.13162,29.1,8.4,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",81.55,23
"1060U_1_2014","1060U",1,2014,25.40345,-80.12509,25.8,17.5,"Isolated - patchy reef structures - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",276.65,37
"1060U_2_2014","1060U",2,2014,25.40348,-80.12521,25.2,16.5,"Isolated - patchy reef structures - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",186.87,31
"1061U_1_2014","1061U",1,2014,25.60466,-80.09045,21.2,15.2,"Spur-groove reef - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",264.63,36
"1061U_2_2014","1061U",2,2014,25.60501,-80.09017,23.2,12.2,"Spur-groove reef - high vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",309.65,35
"1062U_1_2014","1062U",1,2014,25.72896,-80.08762,22.5,12.2,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",195.93,31
"1062U_2_2014","1062U",2,2014,25.72858,-80.08766,22.9,13,"Contiguous reef - non-spur-groove - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",88.43,21
"1063U_1_2014","1063U",1,2014,25.37597,-80.15313,3.6,8.4,"Contiguous reef - non-spur-groove - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",97.94,24
"1063U_2_2014","1063U",2,2014,25.3759,-80.153,3.9,8.4,"Contiguous reef - non-spur-groove - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",106.66,28
"1064U_1_2014","1064U",1,2014,25.37667,-80.14907,5.8,7.6,"Contiguous reef - non-spur-groove - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",108.16,31
"1064U_2_2014","1064U",2,2014,25.37663,-80.14917,5.4,8.4,"Contiguous reef - non-spur-groove - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",128.63,31
"1065U_1_2014","1065U",1,2014,25.38113,-80.16775,2.6,6.1,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",62.22,22
"1065U_2_2014","1065U",2,2014,25.38113,-80.16775,3.2,5.4,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",119.52,22
"1066U_1_2014","1066U",1,2014,25.38095,-80.16347,4.3,5.7,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",54.24,15
"1066U_2_2014","1066U",2,2014,25.38095,-80.16347,5.5,5.4,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",67.96,19
"1067U_1_2014","1067U",1,2014,25.38968,-80.15293,6.9,14.2,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",118.52,33
"1067U_2_2014","1067U",2,2014,25.39,-80.15292,9.3,15.3,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",118.56,31
"1068U_1_2014","1068U",1,2014,25.39305,-80.17532,5.5,7.8,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",108.47,33
"1068U_2_2014","1068U",2,2014,25.39301,-80.17426,5.2,5.4,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",218.38,26
"1069U_1_2014","1069U",1,2014,25.39831,-80.16342,2.7,10.7,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",123.46,24
"1069U_2_2014","1069U",2,2014,25.39788,-80.16349,3,11.2,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",94.17,27
"1070U_1_2014","1070U",1,2014,25.40156,-80.14981,6.4,14.5,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",253.86,36
"1070U_2_2014","1070U",2,2014,25.40145,-80.14986,8.8,12.2,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",188.9,30
"1071U_1_2014","1071U",1,2014,25.41965,-80.15646,4.3,4.6,"Isolated - patchy reef structures - high vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",146.95,31
"1071U_2_2014","1071U",2,2014,25.41927,-80.15623,4.6,5.5,"Isolated - patchy reef structures - high vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",309.68,33
"1074U_1_2014","1074U",1,2014,25.44214,-80.15404,3,4.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",111.46,19
"1074U_2_2014","1074U",2,2014,25.44195,-80.154,2.9,5.2,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",152.71,34
"1075U_1_2014","1075U",1,2014,25.44419,-80.15141,3.1,5.4,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",147.98,22
"1075U_2_2014","1075U",2,2014,25.44448,-80.15124,3.5,5.4,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",120.66,28
"1076U_1_2014","1076U",1,2014,25.4495,-80.15866,3.9,4.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",152.7,32
"1076U_2_2014","1076U",2,2014,25.4498,-80.15846,4,4.8,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"",96.65,20
"1077U_1_2014","1077U",1,2014,25.39676,-80.1341,3.9,18.3,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"",94.17,14
"1077U_2_2014","1077U",2,2014,25.39676,-80.1341,3.9,20.7,"Reef rubble - low vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"",172.26,22
"1078U_1_2014","1078U",1,2014,25.41608,-80.12734,4,10.7,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"",171.9,28
"1078U_2_2014","1078U",2,2014,25.41646,-80.12759,4.8,12.1,"Contiguous reef - non-spur-groove - moderate vertical relief","Forereef","Biscayne","Florida Keys: from Key West to Miami",0,"",368.15,36
